Sub-Region,GDP,Life Expectancy
European Union,16487300000000.00,80.62
East Asia & Pacific,22480400000000.00,75.40
Latin America & Caribbean,5299870000000.00,75.54
North America,20160300000000.00,79.05
Middle East & North Africa,3144800000000.00,73.49
Sub-Saharan Africa,1512600000000.00,60.39
